place_value,place_port_or_location,broad_region_value,specific_region_value,broad_region,specific_region_country_or_colony
10101,Alicante,10000,10100,Europe,Spain
10102,Barcelona,10000,10100,Europe,Spain
10103,Bilbao,10000,10100,Europe,Spain
10104,Cadiz,10000,10100,Europe,Spain
10105,Figuera,10000,10100,Europe,Spain
10106,Gibraltar,10000,10100,Europe,Spain
10107,La Coruña,10000,10100,Europe,Spain
10110,Santander,10000,10100,Europe,Spain
10111,Seville,10000,10100,Europe,Spain
10112,San Lucar,10000,10100,Europe,Spain
10113,Vigo,10000,10100,Europe,Spain
10114,Malaga,10000,10100,Europe,Spain
10115,Puerto Santa Maria,10000,10100,Europe,Spain
10199,"Spain, port unspecified",10000,10100,Europe,Spain
10202,Lagos,10000,10200,Europe,Portugal
10203,Lisbon,10000,10200,Europe,Portugal
10204,Oporto,10000,10200,Europe,Portugal
10205,Ilho do Fayal,10000,10200,Europe,Portugal
10206,Setubal,10000,10200,Europe,Portugal
10299,"Portugal, port unspecified",10000,10200,Europe,Portugal
10399,"Great Britain, port unspecified",10000,10300,Europe,Great Britain
10401,Barmouth,10000,10400,Europe,England
10402,Bideford,10000,10400,Europe,England
10403,Birkenhead,10000,10400,Europe,England
10404,Bristol,10000,10400,Europe,England
10405,Brixham,10000,10400,Europe,England
10406,Broadstairs,10000,10400,Europe,England
10407,Cawsand,10000,10400,Europe,England
10408,Chepstow,10000,10400,Europe,England
10409,Chester,10000,10400,Europe,England
10410,Colchester,10000,10400,Europe,England
10411,Cowes,10000,10400,Europe,England
10412,Dartmouth,10000,10400,Europe,England
10413,Deptford,10000,10400,Europe,England
10414,Dover,10000,10400,Europe,England
10415,Exeter,10000,10400,Europe,England
10416,Folkstone,10000,10400,Europe,England
10417,Frodsham,10000,10400,Europe,England
10418,Gainsborough,10000,10400,Europe,England
10419,Greenwich,10000,10400,Europe,England
10420,Guernsey,10000,10400,Europe,England
10421,Harwich,10000,10400,Europe,England
10422,Hull,10000,10400,Europe,England
10423,Ilfracombe,10000,10400,Europe,England
10424,Ipswich,10000,10400,Europe,England
10425,Isle of Man,10000,10400,Europe,England
10426,Isle of Wight,10000,10400,Europe,England
10427,Jersey,10000,10400,Europe,England
10428,Kendal,10000,10400,Europe,England
10429,King's Lynn,10000,10400,Europe,England
10430,Lancaster,10000,10400,Europe,England
10431,Lindale,10000,10400,Europe,England
10432,Liverpool,10000,10400,Europe,England
10433,London,10000,10400,Europe,England
10434,Lyme,10000,10400,Europe,England
10436,Maryport,10000,10400,Europe,England
10437,Milford Haven,10000,10400,Europe,England
10438,New Shoreham,10000,10400,Europe,England
10439,Newcastle upon Tyne,10000,10400,Europe,England
10440,Newnham,10000,10400,Europe,England
10441,North Shields,10000,10400,Europe,England
10442,Northam,10000,10400,Europe,England
10443,Norwich,10000,10400,Europe,England
10444,Padstowe,10000,10400,Europe,England
10445,Parkgate,10000,10400,Europe,England
10446,Piel of Foulney,10000,10400,Europe,England
10447,Plymouth,10000,10400,Europe,England
10448,Poole,10000,10400,Europe,England
10449,Portsery,10000,10400,Europe,England
10450,Portsmouth,10000,10400,Europe,England
10451,Poulton,10000,10400,Europe,England
10452,Preston,10000,10400,Europe,England
